name,raDeg,decDeg,magnitude,pmRA,pmDec
Acamar,44.5654,-40.3047,2.9,0.053,-0.033
Achernar,24.4288,-57.2367,0.5,0.088,-0.040
Acrux,186.6496,-63.0992,0.8,-0.035,-0.015
Adhara,104.6564,-28.9722,1.5,0.003,0.002
Aldebaran,68.9800,16.5092,0.9,0.063,-0.189
Alioth,193.5071,55.9597,1.8,0.112,-0.009
Alkaid,206.8850,49.3133,1.9,-0.121,-0.016
Al Na'ir,332.0579,-46.9610,1.7,0.128,-0.148
Alnilam,84.0534,-1.2019,1.7,0.001,-0.001
Alphard,141.8967,-8.6586,2.0,-0.015,0.033
Alphecca,233.6721,26.7147,2.2,0.120,-0.089
Alpheratz,2.0971,29.0906,2.1,0.136,-0.163
Altair,297.6958,8.8683,0.8,0.537,0.386
Ankaa,6.5713,-42.3060,2.4,0.233,-0.395
Antares,247.3519,-26.4320,1.1,-0.010,-0.023
Arcturus,213.9154,19.1822,-0.1,-1.093,-1.999
Atria,252.1663,-69.0278,1.9,0.018,-0.032
Avior,125.6284,-59.5095,1.9,-0.025,0.014
Bellatrix,81.2829,6.3497,1.6,-0.009,-0.013
Betelgeuse,88.7929,7.4071,0.5,0.025,0.010
Canopus,95.9879,-52.6957,-0.7,0.020,0.023
Capella,79.1723,45.9980,0.1,0.076,-0.427
Deneb,310.3579,45.2803,1.2,0.002,0.002
Denebola,177.2650,14.5722,2.1,-0.499,-0.114
Diphda,10.8975,-17.9867,2.0,0.233,0.033
Dubhe,165.9321,61.7511,1.8,-0.136,-0.035
Elnath,81.5729,28.6074,1.7,0.023,-0.174
Eltanin,269.1517,51.4889,2.2,-0.008,-0.023
Enif,326.0467,9.8750,2.4,0.030,0.001
Fomalhaut,344.4125,-29.6222,1.2,0.329,-0.164
Gacrux,187.7916,-57.1132,1.6,0.028,-0.264
Gienah,183.9517,-17.5419,2.6,-0.160,0.022
Hadar,210.9558,-60.3730,0.6,-0.004,-0.011
Hamal,31.7933,23.4624,2.0,0.191,-0.146
Kaus Australis,276.0429,-34.3846,1.8,-0.039,-0.124
Kochab,222.6762,74.1555,2.1,-0.032,0.012
Markab,346.1904,15.2053,2.5,0.061,-0.043
Menkar,45.5698,4.0897,2.5,-0.012,-0.077
Menkent,211.6706,-36.3700,2.1,-0.520,-0.519
Miaplacidus,138.3008,-69.7172,1.7,-0.158,0.108
Mirfak,51.0807,49.8612,1.8,0.024,-0.026
Nunki,283.8164,-26.2967,2.0,0.014,-0.053
Peacock,306.4120,-56.7351,1.9,0.008,-0.086
Polaris,37.9529,89.2641,2.0,0.044,-0.012
Pollux,116.3290,28.0262,1.2,-0.626,-0.046
Procyon,114.8255,5.2250,0.4,-0.717,-1.035
Rasalhague,263.7337,12.5600,2.1,0.108,-0.222
Regulus,152.0929,11.9672,1.4,-0.249,0.006
Rigel,78.6345,-8.2016,0.1,0.002,-0.001
Rigil Kentaurus,219.9020,-60.8340,-0.3,-3.678,0.482
Sabik,257.5946,-15.7250,2.4,0.041,0.098
Schedar,10.1269,56.5373,2.2,0.050,-0.032
Shaula,263.4022,-37.1038,1.6,-0.009,-0.030
Sirius,101.2872,-16.7161,-1.5,-0.546,-1.223
Spica,201.2983,-11.1613,1.0,-0.042,-0.031
Suhail,136.9991,-43.4326,2.2,-0.023,0.016
Vega,279.2347,38.7837,0.0,0.201,0.286
Zubenelgenubi,222.7197,-16.0418,2.8,-0.106,-0.068
